RELEASE;FILENAME;LOC;LOC_added;MAX_LOC_Added;AVG_LOC_Added;Churn;MAX_Churn;AVG_Churn;NR;NAUTH;ChgSetSize;MAX_ChgSet;AVG_ChgSet;BUGGYNESS
1;core/src/main/java/org/syncope/core/validation/ValidationException.java;26;32;30;8;0;0;0;4;1;136;59;34;Yes
1;core/src/main/java/org/syncope/core/validation/ValidationFailedException.java;21;68;24;6;5;24;0;12;3;2920;1096;243;Yes
1;core/src/main/java/org/syncope/core/validation/ValidatorInstantiationException.java;20;31;22;6;0;0;0;5;1;153;59;31;Yes
1;rest/src/main/java/org/syncope/rest/controller/UserController.java;116;3349;176;29;164;160;1;114;5;4604;1096;40;Yes
1;rest/src/main/java/org/syncope/rest/jackson/UnwrappedObjectMapper.java;83;131;101;19;0;0;0;7;3;2642;1096;377;Yes
1;rest/src/main/java/org/syncope/rest/to/AttributeTO.java;66;228;78;15;0;0;0;15;4;2757;1096;184;Yes
1;rest/src/main/java/org/syncope/rest/to/SearchCondition.java;38;48;46;12;0;0;0;4;1;50;20;13;Yes
1;rest/src/main/java/org/syncope/rest/to/SearchParameters.java;30;39;36;10;0;0;0;4;1;50;20;13;Yes
1;rest/src/main/java/org/syncope/rest/to/UserTO.java;88;490;104;16;6;104;0;31;3;3094;1096;100;Yes
1;rest/src/test/java/org/syncope/rest/test/RestUserTestITCase.java;102;3517;208;25;495;189;4;139;5;4999;1096;36;Yes
1;client/src/main/java/org/syncope/client/to/AttributeSchemaTO.java;18;249;67;10;13;67;1;26;3;2989;1096;115;Yes
1;core/src/main/java/org/syncope/core/validation/AlwaysTrueValidator.java;35;85;42;6;0;0;0;14;3;2901;1096;207;Yes
1;core/src/main/java/org/syncope/core/persistence/validation/ParseException.java;23;5;5;3;-2;2;-1;2;1;82;59;41;No
1;core/src/main/java/org/syncope/core/persistence/dao/DerivedAttributeDAO.java;23;40;13;4;-29;3;-3;10;3;2881;1096;288;Yes
1;core/src/main/java/org/syncope/core/persistence/dao/DerivedAttributeSchemaDAO.java;23;66;17;4;-29;17;-2;17;3;3000;1096;176;Yes
1;core/src/main/java/org/syncope/core/persistence/dao/impl/DerivedAttributeDAOImpl.java;47;122;41;9;-53;39;-4;14;3;2973;1096;212;Yes
1;core/src/main/java/org/syncope/core/persistence/dao/impl/DerivedAttributeSchemaDAOImpl.java;48;23;23;12;-55;22;-28;2;1;76;60;38;No
1;core/src/test/java/org/syncope/core/persistence/test/AttributeSchemaDAOTest.java;63;325;75;8;-3;75;0;39;3;3657;1096;94;Yes
1;core/src/test/java/org/syncope/core/persistence/test/DerivedAttributeDAOTest.java;92;384;111;15;0;0;0;25;3;3230;1096;129;Yes
1;core/src/test/java/org/syncope/core/persistence/test/DerivedAttributeSchemaDAOTest.java;62;193;74;10;0;0;0;20;3;3099;1096;155;Yes
1;core/src/main/java/org/syncope/core/persistence/beans/ConnectorInstance.java;66;654;82;13;16;82;0;51;3;3630;1096;71;Yes
1;core/src/main/java/org/syncope/core/persistence/beans/SyncopeRole.java;87;172;101;25;0;0;0;7;1;142;60;20;No
1;core/src/main/java/org/syncope/core/persistence/beans/SyncopeRolePK.java;85;104;101;21;0;0;0;5;1;69;24;14;No
1;core/src/main/java/org/syncope/core/persistence/dao/SyncopeRoleDAO.java;26;94;34;5;2;34;0;20;3;2994;1096;150;Yes
1;core/src/main/java/org/syncope/core/persistence/dao/impl/SyncopeRoleDAOImpl.java;55;472;77;12;6;77;0;39;3;3491;1096;90;Yes
1;core/src/test/java/org/syncope/core/persistence/test/SyncopeRoleDAOTest.java;87;284;104;11;0;0;0;27;3;2676;1096;99;Yes
1;core/src/main/java/org/syncope/core/persistence/beans/AbstractAttributableBean.java;69;96;84;19;0;0;0;5;1;112;60;22;No
1;core/src/main/java/org/syncope/core/persistence/beans/AbstractBaseBean.java;31;219;35;8;10;35;0;26;3;3130;1096;120;No
1;core/src/main/java/org/syncope/core/persistence/beans/Entitlement.java;78;154;91;9;-1;91;0;18;3;2608;1096;145;No
1;core/src/main/java/org/syncope/core/persistence/dao/EntitlementDAO.java;25;63;31;5;2;31;0;13;3;2884;1096;222;No
1;core/src/main/java/org/syncope/core/persistence/dao/impl/EntitlementDAOImpl.java;45;184;51;8;1;51;0;24;3;3091;1096;129;No
1;core/src/test/java/org/syncope/core/persistence/test/EntitlementDAOTest.java;55;163;66;5;0;0;0;32;3;3080;1096;96;Yes
1;core/src/main/java/org/syncope/core/persistence/dao/ConnectorInstanceDAO.java;27;71;32;5;-3;32;0;15;3;3000;1096;200;Yes
1;core/src/main/java/org/syncope/core/persistence/dao/impl/ConnectorInstanceDAOImpl.java;42;90;47;9;0;0;0;10;1;198;44;20;No
1;core/src/test/java/org/syncope/core/persistence/test/ConnectorInstanceDAOTest.java;96;397;132;11;-29;132;-1;35;3;3343;1096;96;Yes
1;core/src/test/java/org/syncope/core/persistence/test/util/WebServiceConfiguration.java;114;146;133;37;0;0;0;4;1;57;25;14;Yes
1;console/src/main/java/org/syncope/console/SyncopeApplication.java;58;548;75;16;34;68;1;34;3;3091;1096;91;No
1;console/src/main/java/org/syncope/console/SyncopeSession.java;34;198;42;12;28;42;2;16;3;2497;1096;156;No
1;console/src/main/java/org/syncope/console/SyncopeUser.java;53;180;66;30;1;66;0;6;1;130;41;22;No
1;console/src/main/java/org/syncope/console/pages/BasePage.java;39;619;114;19;83;109;3;32;3;3076;1096;96;No
1;console/src/main/java/org/syncope/console/pages/Configuration.java;11;2003;355;45;206;258;5;45;3;3480;1096;77;No
1;console/src/main/java/org/syncope/console/pages/Connectors.java;11;863;161;23;66;122;2;37;1;620;50;17;No
1;console/src/main/java/org/syncope/console/pages/HomePage.java;13;51;16;9;0;0;0;6;3;2215;1096;369;No
1;console/src/main/java/org/syncope/console/pages/Report.java;11;575;285;52;0;0;0;11;4;2698;1096;245;Yes
