RELEASE;FILENAME;LOC;LOC_added;MAX_LOC_Added;AVG_LOC_Added;Churn;MAX_Churn;AVG_Churn;NR;NAUTH;ChgSetSize;MAX_ChgSet;AVG_ChgSet;BUGGYNESS
1;identityconnectors/bundles/staticws/staticwebservice/src/test/java/org/syncope/identityconnectors/bundles/StaticWSTestITCase.java;263;526;339;43,83;-368;339;-30,67;12;1;160;50;13,33;No
1;identityconnectors/bundles/staticws/utilities/src/main/java/org/syncope/identityconnectors/bundles/commons/staticwebservice/to/WSAttribute.java;102;129;122;25,80;-127;122;-25,40;5;1;103;50;20,60;No
1;identityconnectors/bundles/staticws/utilities/src/main/java/org/syncope/identityconnectors/bundles/commons/staticwebservice/to/WSAttributeValue.java;100;240;128;60,00;-225;128;-56,25;4;1;98;50;24,50;No
1;identityconnectors/bundles/staticws/utilities/src/main/java/org/syncope/identityconnectors/bundles/commons/staticwebservice/to/WSChange.java;50;66;62;16,50;-64;62;-16,00;4;1;98;50;24,50;No
1;identityconnectors/bundles/staticws/utilities/src/main/java/org/syncope/identityconnectors/bundles/commons/staticwebservice/to/WSUser.java;44;60;56;15,00;-59;56;-14,75;4;1;98;50;24,50;No
1;identityconnectors/bundles/staticws/utilities/src/main/java/org/syncope/identityconnectors/bundles/staticwebservice/exceptions/ProvisioningException.java;29;61;33;12,20;-51;33;-10,20;5;1;106;50;21,20;No
1;identityconnectors/bundles/staticws/utilities/src/main/java/org/syncope/identityconnectors/bundles/staticwebservice/provisioning/interfaces/Provisioning.java;129;164;144;32,80;-142;144;-28,40;5;1;105;50;21,00;No
1;identityconnectors/bundles/staticws/utilities/src/main/java/org/syncope/identityconnectors/bundles/staticwebservice/utilities/AttributeType.java;55;65;65;21,67;-65;65;-21,67;3;1;90;50;30,00;No
1;identityconnectors/bundles/staticws/utilities/src/main/java/org/syncope/identityconnectors/bundles/staticwebservice/utilities/Operand.java;118;191;145;47,75;-171;145;-42,75;4;1;98;50;24,50;No
1;identityconnectors/bundles/staticws/utilities/src/main/java/org/syncope/identityconnectors/bundles/staticwebservice/utilities/Operator.java;33;43;38;10,75;-38;38;-9,50;4;1;98;50;24,50;No
