RELEASE;FILENAME;LOC;LOC_added;MAX_LOC_Added;AVG_LOC_Added;Churn;MAX_Churn;AVG_Churn;NR;NAUTH;ChgSetSize;MAX_ChgSet;AVG_ChgSet;BUGGYNESS
1;bookkeeper/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java;83;102;98;34,00;98;98;32,67;3;2;434;207;144,67;Yes
1;bookkeeper/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java;34;49;38;12,25;39;38;9,75;4;2;527;207;131,75;Yes
1;bookkeeper/src/main/java/org/apache/bookkeeper/util/StringUtils.java;81;98;94;24,50;69;94;17,25;4;3;467;207;116,75;Yes
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/AsyncLedgerOpsTest.java;216;278;256;55,60;258;256;51,60;5;3;535;207;107,00;Yes
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/BaseTestCase.java;152;326;176;25,08;257;176;19,77;13;3;670;207;51,54;Yes
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/BookieClientTest.java;215;275;232;39,29;242;232;34,57;7;3;600;207;85,71;Yes
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java;265;339;305;48,43;305;305;43,57;7;3;590;207;84,29;Yes
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java;642;1197;720;108,82;1040;720;94,55;11;3;609;207;55,36;Yes
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/BookieRecoveryTest.java;353;728;400;66,18;617;400;56,09;11;3;655;207;59,55;Yes
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/CloseTest.java;62;83;74;20,75;75;74;18,75;4;2;527;207;131,75;Yes
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/ConcurrentLedgerTest.java;170;203;178;29,00;188;178;26,86;7;3;608;207;86,86;Yes
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/LedgerDeleteTest.java;145;177;163;35,40;154;163;30,80;5;3;566;207;113,20;Yes
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/LedgerRecoveryTest.java;75;133;88;26,60;114;88;22,80;5;3;529;207;105,80;Yes
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/LoopbackClient.java;100;131;117;21,83;120;117;20,00;6;3;593;207;98,83;Yes
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/NIOServerFactoryTest.java;52;68;60;17,00;63;60;15,75;4;3;473;207;118,25;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java;44;56;48;18,67;48;48;16,00;3;2;406;207;135,33;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java;58;67;63;33,50;63;63;31,50;2;2;378;207;189,00;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java;222;257;237;128,50;237;237;118,50;2;2;378;207;189,00;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java;113;139;133;46,33;133;133;44,33;3;2;406;207;135,33;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java;115;150;136;37,50;137;136;34,25;4;2;499;207;124,75;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java;152;181;176;60,33;177;176;59,00;3;2;471;207;157,00;Yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java;41;47;46;23,50;46;46;23,00;2;2;378;207;189,00;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java;101;137;127;27,40;128;127;25,60;5;3;500;207;100,00;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java;128;152;148;50,67;149;148;49,67;3;2;471;207;157,00;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java;53;59;58;29,50;58;58;29,00;2;2;378;207;189,00;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java;140;152;149;76,00;149;149;74,50;2;2;378;207;189,00;Yes
