RELEASE ; FILENAME ; NR ; NAUTH; ChgSetSize ; MAX_ChgSet ; BUGGYNESS 
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/BookieClient.java;8;3;598;207;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java;5;3;468;207;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/BookieServer.java;12;3;642;207;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java;4;3;467;207;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java;9;3;607;207;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java;10;3;608;207;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/proto/ServerStats.java;2;1;263;207;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java;4;2;527;207;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java;4;2;527;207;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java;7;3;557;207;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java;7;3;603;207;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/util/Main.java;4;3;467;207;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/util/MathUtils.java;3;2;434;207;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java;3;2;434;207;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java;4;2;527;207;No
1;bookkeeper/src/main/java/org/apache/bookkeeper/util/StringUtils.java;4;3;467;207;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/AsyncLedgerOpsTest.java;5;3;535;207;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/BaseTestCase.java;13;3;670;207;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/BookieClientTest.java;7;3;600;207;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java;7;3;590;207;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java;11;3;609;207;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/BookieRecoveryTest.java;11;3;655;207;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/CloseTest.java;4;2;527;207;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/ConcurrentLedgerTest.java;7;3;608;207;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/LedgerDeleteTest.java;5;3;566;207;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/LedgerRecoveryTest.java;5;3;529;207;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/LoopbackClient.java;6;3;593;207;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/NIOServerFactoryTest.java;4;3;473;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java;3;2;406;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java;2;2;378;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java;2;2;378;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java;3;2;406;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java;4;2;499;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java;3;2;471;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java;2;2;378;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java;5;3;500;207;No
