RELEASE ; FILENAME ; NR ; NAUTH; ChgSetSize ; BUGGYNESS 
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java;5;3;500;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java;3;2;471;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java;2;2;378;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java;2;2;378;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java;2;2;378;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java;1;1;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java;2;2;378;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java;2;2;378;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java;4;2;499;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java;3;2;471;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java;4;2;499;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java;4;2;499;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java;6;3;501;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java;4;2;499;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java;3;2;406;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java;4;2;499;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClient.java;4;2;499;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java;5;2;500;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java;4;2;499;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java;5;2;508;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java;4;2;499;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java;1;1;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java;2;2;378;No
1;hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java;3;3;417;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java;2;2;378;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java;4;3;476;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java;1;1;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/Either.java;1;1;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java;2;2;300;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java;1;1;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/Option.java;1;1;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java;1;1;207;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java;1;1;207;No
1;hedwig-client/src/test/java/org/apache/hedwig/client/AppTest.java;2;2;378;No
1;hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java;1;1;207;No
1;hedwig-client/src/test/java/org/apache/hedwig/util/TestHedwigSocketAddress.java;2;2;378;No
1;hedwig-client/src/test/java/org/apache/hedwig/util/TestPathUtils.java;1;1;207;No
1;hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java;2;2;378;No
1;hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java;2;2;378;No
1;hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java;1;1;207;No
1;hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java;2;2;378;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java;3;2;471;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java;5;3;537;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java;4;3;488;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java;3;2;471;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java;1;1;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java;2;2;378;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java;2;2;300;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java;1;1;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java;2;2;378;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java;1;1;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java;1;1;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java;1;1;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java;2;2;378;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java;4;3;472;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java;2;2;378;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java;2;2;378;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java;2;2;378;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java;2;2;378;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java;2;2;378;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java;3;2;471;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java;2;2;378;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java;6;3;529;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java;2;2;378;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java;3;2;471;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java;3;2;471;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java;2;2;378;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java;3;2;471;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java;1;1;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java;3;2;471;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java;1;1;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java;2;2;378;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java;2;2;378;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java;2;2;378;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java;2;2;378;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java;3;2;471;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java;2;2;378;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java;1;1;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java;2;2;378;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java;2;2;378;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java;4;2;499;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java;2;2;378;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java;2;2;300;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java;1;1;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java;4;2;499;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java;2;2;300;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java;3;2;471;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java;1;1;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java;2;2;235;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java;2;2;378;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java;3;2;406;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java;4;2;499;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java;1;1;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java;4;2;472;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AllToAllTopologyFilter.java;1;1;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java;2;2;378;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java;2;2;378;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/MessageFilter.java;2;2;378;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java;2;2;378;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java;2;2;378;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/TrueFilter.java;1;1;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java;3;2;471;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java;4;3;474;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java;2;2;378;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicOwnershipChangeListener.java;1;1;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java;2;2;378;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java;3;2;471;No
1;hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java;2;2;378;No
1;hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java;1;1;207;No
1;hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncZKCallback.java;2;2;378;No
1;hedwig-server/src/main/java/org/apache/hedwig/zookeeper/ZkUtils.java;3;2;471;No
1;hedwig-server/src/test/java/org/apache/hedwig/HelperMethods.java;2;2;378;No
1;hedwig-server/src/test/java/org/apache/hedwig/ServerControl.java;4;3;389;No
1;hedwig-server/src/test/java/org/apache/hedwig/ServerControlDaemon.java;4;3;389;No
1;hedwig-server/src/test/java/org/apache/hedwig/StubCallback.java;1;1;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/StubScanCallback.java;1;1;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/client/TestPubSubClient.java;3;2;406;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/HedwigHubTestBase.java;3;2;471;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/HedwigRegionTestBase.java;4;2;499;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/PubSubServerStandAloneTestBase.java;2;2;300;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/delivery/StubDeliveryManager.java;2;2;378;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestBaseHandler.java;1;1;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/handlers/TestSubUnsubHandler.java;2;2;378;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigHub.java;3;2;406;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigRegion.java;3;2;406;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/netty/TestPubSubServer.java;3;2;406;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/netty/WriteRecordingChannel.java;1;1;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/BookKeeperTestBase.java;8;3;541;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/StubPersistenceManager.java;2;2;378;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/StubScanCallback.java;2;2;378;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookKeeperPersistenceManagerBlackBox.java;2;2;378;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookkeeperPersistenceManagerWhiteBox.java;2;2;378;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestLocalDBPersistenceManagerBlackBox.java;1;1;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestPersistenceManagerBlackBox.java;3;2;471;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheBlackBox.java;1;1;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestReadAheadCacheWhiteBox.java;2;2;378;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/subscriptions/StubSubscriptionManager.java;2;2;378;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/subscriptions/TestZkSubscriptionManager.java;2;2;378;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/topics/StubTopicManager.java;2;2;378;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/topics/TestZkTopicManager.java;4;3;473;No
1;hedwig-server/src/test/java/org/apache/hedwig/zookeeper/TestZkUtils.java;1;1;207;No
1;hedwig-server/src/test/java/org/apache/hedwig/zookeeper/ZooKeeperTestBase.java;2;2;378;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerCacheTest.java;8;2;371;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java;6;2;300;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java;4;2;156;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieZKExpireTest.java;3;3;211;No
1;hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java;2;2;172;No
1;hedwig-server/src/test/java/org/apache/hedwig/server/TestPubSubServerStartup.java;3;2;266;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConditionalSetTest.java;3;2;140;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestProtoVersions.java;2;1;34;No
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java;6;2;213;No
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieJournalRollingTest.java;3;2;46;No
