RELEASE;FILENAME;LOC;NR;NAUTH;ChgSetSize;MAX_ChgSet;AVG_ChgSet;BUGGYNESS
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java;332;5;2;508;207;101,60;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java;88;4;2;499;207;124,75;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java;35;1;1;207;207;207,00;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java;53;2;2;378;207;189,00;No
1;hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java;39;3;3;417;207;139,00;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java;42;2;2;378;207;189,00;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java;158;4;3;476;207;119,00;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java;43;1;1;207;207;207,00;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/Either.java;41;1;1;207;207;207,00;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java;77;2;2;300;207;150,00;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java;120;1;1;207;207;207,00;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/Option.java;35;1;1;207;207;207,00;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java;35;1;1;207;207;207,00;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java;50;1;1;207;207;207,00;No
1;hedwig-client/src/test/java/org/apache/hedwig/client/AppTest.java;47;2;2;378;207;189,00;No
1;hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java;35;1;1;207;207;207,00;No
1;hedwig-client/src/test/java/org/apache/hedwig/util/TestHedwigSocketAddress.java;93;2;2;378;207;189,00;No
1;hedwig-client/src/test/java/org/apache/hedwig/util/TestPathUtils.java;46;1;1;207;207;207,00;No
1;hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java;142;2;2;378;207;189,00;No
1;hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java;123;2;2;378;207;189,00;No
1;hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java;37;1;1;207;207;207,00;No
1;hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java;36;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java;96;3;2;471;207;157,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java;98;5;3;537;207;107,40;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java;86;4;3;488;207;122,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java;87;3;2;471;207;157,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java;37;1;1;207;207;207,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java;246;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java;27;2;2;300;207;150,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java;94;1;1;207;207;207,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java;30;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java;65;1;1;207;207;207,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java;23;1;1;207;207;207,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java;23;1;1;207;207;207,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java;26;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java;459;4;3;472;207;118,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java;54;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java;27;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java;53;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java;34;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java;58;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java;131;3;2;471;207;157,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java;62;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java;317;6;3;529;207;88,17;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java;67;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java;138;3;2;471;207;157,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java;618;3;2;471;207;157,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java;65;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java;77;3;2;471;207;157,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java;21;1;1;207;207;207,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java;356;3;2;471;207;157,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java;49;1;1;207;207;207,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java;50;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java;82;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java;26;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java;67;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java;582;3;2;471;207;157,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java;55;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java;32;1;1;207;207;207,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java;56;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java;98;2;2;378;207;189,00;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java;137;4;2;499;207;124,75;No
