Dataset;#TrainingRelease;%Training;%DefectiveTraining;%DefectiveTesting;Classifier;Balancing;FeatureSelection;TP;FP;TN;FN;Precision;Recall;AUC;Kappa
bookkeeper;3;31.53;19.49;13.44;Random Forest;No;Best First;18;0;380;41;1;0.31;0.77;0.43
bookkeeper;3;31.53;19.49;13.44;Random Forest;Under Sampling;Best First;32;58;322;27;0.36;0.54;0.71;0.32
bookkeeper;3;31.53;19.49;13.44;Random Forest;Over Sampling;Best First;23;29;351;36;0.44;0.39;0.71;0.33
bookkeeper;3;31.53;19.49;13.44;Random Forest;SMOTE;Best First;18;0;380;41;1;0.31;0.76;0.43
bookkeeper;3;31.53;19.49;13.44;Naive Bayes;No;No;0;0;380;59;NaN;0;0.8;0
bookkeeper;3;31.53;19.49;13.44;Naive Bayes;Under Sampling;No;0;1;379;59;0;0;0.75,-0
bookkeeper;3;31.53;19.49;13.44;Naive Bayes;Over Sampling;No;0;0;380;59;NaN;0;0.77;0
bookkeeper;3;31.53;19.49;13.44;Naive Bayes;SMOTE;No;0;0;380;59;NaN;0;0.8;0
bookkeeper;3;31.53;19.49;13.44;Naive Bayes;No;Best First;0;0;380;59;NaN;0;0.77;0
bookkeeper;3;31.53;19.49;13.44;Naive Bayes;Under Sampling;Best First;0;0;380;59;NaN;0;0.71;0
bookkeeper;3;31.53;19.49;13.44;Naive Bayes;Over Sampling;Best First;0;0;380;59;NaN;0;0.73;0
bookkeeper;3;31.53;19.49;13.44;Naive Bayes;SMOTE;Best First;0;0;380;59;NaN;0;0.77;0
bookkeeper;3;31.53;19.49;13.44;IBk;No;No;20;21;359;39;0.49;0.34;0.64;0.33
bookkeeper;3;31.53;19.49;13.44;IBk;Under Sampling;No;24;45;335;35;0.35;0.41;0.67;0.27
bookkeeper;3;31.53;19.49;13.44;IBk;Over Sampling;No;22;33;347;37;0.4;0.37;0.7;0.29
bookkeeper;3;31.53;19.49;13.44;IBk;SMOTE;No;24;24;356;35;0.5;0.41;0.67;0.37
bookkeeper;3;31.53;19.49;13.44;IBk;No;Best First;19;1;379;40;0.95;0.32;0.66;0.44
bookkeeper;3;31.53;19.49;13.44;IBk;Under Sampling;Best First;32;57;323;27;0.36;0.54;0.68;0.32
